,Date,Weight,Steps
670,2014-06-14,148.150640064,3400
671,2014-06-15,149.804107029,6908
672,2014-06-16,149.363182505,4845
673,2014-06-17,149.583644767,5790
674,2014-06-18,149.91433816,5834
675,2014-06-19,149.363182505,6678
676,2014-06-20,149.252951374,5847
677,2014-06-21,149.252951374,6255
678,2014-06-22,149.032489112,5154
679,2014-06-23,149.14272024299999,6427
680,2014-06-24,149.363182505,5255
681,2014-06-25,149.473413636,6503
682,2014-06-26,149.14272024299999,6041
683,2014-06-27,148.81202685,5675
684,2014-06-28,148.701795719,4552
685,2014-06-30,149.252951374,4653
686,2014-07-01,148.260871195,5670
687,2014-07-02,148.481333457,4947
688,2014-07-03,148.260871195,5525
689,2014-07-04,148.81202685,7348
690,2014-07-05,148.81202685,7697
691,2014-07-06,148.922257981,8024
692,2014-07-07,148.260871195,8194
693,2014-07-08,148.922257981,9405
694,2014-07-09,148.701795719,6594
695,2014-07-10,148.922257981,6866
696,2014-07-11,148.701795719,6691
697,2014-07-12,148.81202685,7085
698,2014-07-13,148.81202685,7363
699,2014-07-15,148.81202685,4294
700,2014-07-16,148.701795719,6611
701,2014-07-17,148.81202685,5417
702,2014-07-18,148.922257981,7149
703,2014-07-19,148.701795719,6037
704,2014-07-20,149.473413636,5513
705,2014-07-21,149.693875898,4876
706,2014-07-22,149.804107029,6921
707,2014-07-23,149.14272024299999,7310
708,2014-07-24,148.481333457,1667
709,2014-07-25,148.81202685,6946
710,2014-07-26,148.701795719,5562
711,2014-07-27,148.59156458799998,7426
712,2014-07-28,148.481333457,6643
713,2014-07-29,147.70971554,4877
714,2014-07-30,148.150640064,5710
715,2014-07-31,149.363182505,7777
716,2014-08-01,147.04832875399998,4444
717,2014-08-02,147.59948440899998,6112
718,2014-08-03,149.032489112,6856
719,2014-08-04,146.827866492,6737
720,2014-08-05,148.81202685,6536
721,2014-08-06,149.363182505,6124
722,2014-08-07,149.363182505,7983
723,2014-08-08,148.59156458799998,8643
724,2014-08-09,147.930177802,7479
725,2014-08-20,148.701795719,3620
726,2014-08-21,148.922257981,6567
727,2014-08-22,148.04040893299998,2515
728,2014-08-23,148.481333457,3952
729,2014-08-24,147.70971554,6496
730,2014-08-25,148.371102326,6924
731,2014-08-26,149.032489112,6454
732,2014-08-27,149.14272024299999,6673
733,2014-08-28,149.032489112,6403
734,2014-08-29,149.363182505,7076
735,2014-08-30,148.922257981,11125
736,2014-08-31,149.032489112,5448
737,2014-09-01,150.024569291,9620
738,2014-09-02,149.804107029,5545
739,2014-09-03,148.04040893299998,2559
740,2014-09-04,150.134800422,5164
741,2014-09-05,150.245031553,3945
742,2014-09-06,151.347342863,1800
743,2014-09-07,149.473413636,2677
744,2014-09-08,149.252951374,5218
745,2014-09-09,149.693875898,6920
746,2014-09-10,149.473413636,6515
747,2014-09-12,149.91433816,6045
748,2014-09-13,148.922257981,8919
749,2014-09-14,149.363182505,4602
750,2014-09-15,150.355262684,8484
751,2014-09-16,150.245031553,5716
752,2014-09-17,149.473413636,10235
753,2014-09-18,149.91433816,6485
754,2014-09-19,150.245031553,7389
755,2014-09-20,149.252951374,5901
756,2014-09-21,150.134800422,4667
757,2014-09-22,149.473413636,4882
758,2014-09-23,149.363182505,4531
759,2014-09-24,148.481333457,6282
